#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B21A75
#Date Time: 2023-03-29 12:45:36.929
#Sample rate: 238.139Hz
#Samples: 2369
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/3.5

Time (s),Channel 1 (V),Math 1 (A)
-16.57856004,-0.0009432307040044588,-0.0002694944868584168
-16.57436081,-0.0009432307040044588,-0.0002694944868584168
-16.57016158,-0.0006051791362213319,-0.0001729083246346663
-16.56596235,-0.0006051791362213319,-0.0001729083246346663
-16.56176312,-0.0006051791362213319,-0.0001729083246346663
-16.55756389,-0.0009432307040044588,-0.0002694944868584168
-16.55336466,-0.0009432307040044588,-0.0002694944868584168
-16.54916543,-0.0009432307040044588,-0.0002694944868584168
-16.5449662,-0.0009432307040044588,-0.0002694944868584168
-16.54076697,-0.0009432307040044588,-0.0002694944868584168
-16.53656774,-0.0009432307040044588,-0.0002694944868584168
-16.53236851,-0.0009432307040044588,-0.0002694944868584168
-16.52816928,-0.0006051791362213319,-0.0001729083246346663
-16.52397005,-0.0006051791362213319,-0.0001729083246346663
-16.51977082,-0.0006051791362213319,-0.0001729083246346663
-16.51557159,-0.0009432307040044588,-0.0002694944868584168
-16.51137236,-0.000943230704004305,-0.0002694944868583729
-16.50717313,-0.0006051791362213319,-0.0001729083246346663
-16.5029739,-0.0006051791362213319,-0.0001729083246346663
-16.49877467,-0.0006051791362214857,-0.0001729083246347102
-16.49457544,-0.000943230704004305,-0.0002694944868583729
-16.49037621,-0.0009432307040044588,-0.0002694944868584168
-16.48617698,-0.0009432307040044588,-0.0002694944868584168
-16.48197775,-0.0009432307040044588,-0.0002694944868584168
-16.47777852,-0.0009432307040044588,-0.0002694944868584168
-16.47357929,-0.0009432307040044588,-0.0002694944868584168
-16.46938006,-0.0009432307040044588,-0.0002694944868584168
-16.46518083,-0.0009432307040044588,-0.0002694944868584168
