#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B21A75
#Date Time: 2023-03-29 12:43:38.851
#Sample rate: 217.872Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1 /3.5

Time (s),Channel 1 (V),Math 1 (A)
-18.3594,0.4638776749977949,0.1325364785707985
-18.35481015,0.4635396234300119,0.1324398924085748
-18.3502203,0.4604971593199636,0.131570616948561
-18.34563045,0.4371716011429279,0.1249061717551222
-18.3410406,0.605859333466693,0.1731026667047694
-18.33645075,0.5723922282561786,0.1635406366446225
-18.3318609,0.4584688499133167,0.1309910999752333
-18.32727105,0.5781391049084917,0.1651826014024262
-18.3226812,0.4591449530488311,0.131184272299666
-18.31809135,0.5081624303773538,0.1451892658221011
-18.3135015,0.4405521168207591,0.1258720333773597
-18.30891165,0.5494047216468765,0.1569727776133933
-18.3043218,0.4584688499132649,0.1309910999752185
-18.29973195,0.4378477042784941,0.1250993440795697
-18.2951421,0.4574546952099056,0.1307013414885445
-18.29055225,0.4358193948717953,0.1245198271062272
-18.2859624,0.439876013685191,0.1256788610529117
-18.28137255,0.4503556122864698,0.1286730320818485
-18.2767827,0.4388618589818435,0.125389102566241
-18.27219285,0.4618493655910946,0.1319569615974556
-18.267603,0.4584688499132649,0.1309910999752185
-18.26301315,0.4571166436421329,0.1306047553263237
-18.2584233,0.456102488938783,0.1303149968396523
-18.25383345,0.5970699927042828,0.170591426486938
-18.2492436,0.4757094798701866,0.1359169942486247
-18.24465375,0.4368335495751448,0.1248095855928985
-18.2400639,0.450693663854315,0.12876961824409
-18.23547405,0.5872664972386362,0.1677904277824675
-18.2308842,0.4777377892769529,0.1364965112219866
-18.22629435,0.4686103969467587,0.133888684841931
-18.2217045,0.8036195006198373,0.2296055716056678
-18.21711465,0.4966686770727308,0.1419053363064945
-18.2125248,0.4364954980073616,0.1247129994306747
-18.20793495,0.4405521168207573,0.1258720333773592
-18.2033451,0.4520458701253854,0.1291559628929673
-18.19875525,0.4344671886006629,0.1241334824573322
-18.1941654,0.4533980763965098,0.1295423075418599
-18.18957555,0.4354813433040122,0.1244232409440035
-18.1849857,0.4490034060153311,0.1282866874329518
-18.18039585,0.4554263858032167,0.1301218245152048
-18.175806,0.4659059844044937,0.1331159955441411
-18.17121615,0.608225694441123,0.1737787698403208
-18.1666263,0.4604971593199636,0.131570616948561
-18.16203645,0.4527219732609553,0.1293491352174158
-18.1574466,0.6825970393534779,0.1950277255295651
-18.15285675,0.4361574464395785,0.124616413268451
-18.1482669,0.489231542581515,0.1397804407375757
-18.14367705,0.4574546952099154,0.1307013414885473
-18.1390872,0.5710400219849945,0.1631542919957127
-18.13449735,0.4331149823295303,0.1237471378084372
-18.1299075,0.4358193948717953,0.1245198271062272
-18.12531765,0.4544122310998592,0.1298320660285312
-18.1207278,0.4364954980073616,0.1247129994306747
-18.11613795,0.4615113140233016,0.131860375435229
-18.1115481,0.4439326324985904,0.1268378949995972
-18.10695825,0.4452848387697229,0.1272242396484922
-18.1023684,0.4473131481764161,0.1278037566218332
-18.09777855,0.4351432917362291,0.1243266547817797
-18.0931887,0.486865181607024,0.1391043376020069
-18.08859885,0.4479892513119879,0.1279969289462823
-18.084009,0.4533980763965179,0.1295423075418623
-18.07941915,0.588280651941928,0.1680801862691223
-18.0748293,0.4618493655910961,0.131956961597456
-18.07023945,0.4540741795320877,0.1297354798663108
-18.0656496,0.5821957237218893,0.1663416353491112
-18.06105975,0.4621874171588792,0.1320535477596798
-18.0564699,0.4932881613949091,0.1409394746842597
-18.05188005,0.4540741795320842,0.1297354798663098
-18.0472902,0.4490034060153323,0.1282866874329521
-18.04270035,0.4381857558462772,0.1251959302417935
-18.0381105,0.4611732624555194,0.1317637892730055
